job_name                                                    ;walltime  ;nproc_io  ;nprocs    ;nnode     ;nthreads  ;nnode_fc  ;ntask_fc  ;nopmp_fc  ;nnode_io  ;ntask_io  ;nopmp_io  ;
L3_C923_LELAM_OC0500                                        ;       120;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDS_LELAM_OC0500                                        ;        40;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDC_LELAM_OC0500                                        ;        10;         0;         1;         1;         1;         1;         1;         1;         0;         0;         0;
L3_PGDI_LELAM_OC0750                                        ;        40;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LELAM_OC0750                                        ;        60;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDS_LELAM_OC0750                                        ;        40;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDC_LELAM_OC0750                                        ;        10;         0;         1;         1;         1;         1;         1;         1;         0;         0;         0;
L3_PGDI_LELAM_OC1000                                        ;        40;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LELAM_OC1000                                        ;        60;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDS_LELAM_OC1000                                        ;        40;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDC_LELAM_OC1000                                        ;        10;         0;         1;         1;         1;         1;         1;         1;         0;         0;         0;
L3_PGDI_LELAM_OC1300                                        ;        40;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LELAM_OC1300                                        ;        60;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDS_LELAM_OC1300                                        ;        40;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDC_LELAM_OC1300                                        ;        10;         0;         1;         1;         1;         1;         1;         1;         0;         0;         0;
L3_PGDI_LALON_OC0500                                        ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LALON_OC0500                                        ;       120;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDI_LALON_OC0750                                        ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LALON_OC0750                                        ;        60;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDI_LALON_OC1000                                        ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LALON_OC1000                                        ;        60;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDI_LALON_OC1300                                        ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LALON_OC1300                                        ;        60;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMOC0250     ;       480;         0;      1408;        44;         4;        44;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMOC0250     ;       480;         0;      1408;        44;         4;        44;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMOC0275     ;       480;         0;      1408;        44;         4;        44;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMOC0275     ;       480;         0;      1408;        44;         4;        44;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMOC0375     ;       480;         0;      1408;        44;         4;        44;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMOC0375     ;       480;         0;      1408;        44;         4;        44;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMOC0500     ;       360;         0;       768;        24;         4;        24;        32;         4;         0;         0;         0;
